ID,Nombre_Lana,Nombre_Archivo,Ruta_Foto,Color_Hex,Color_RGB
1,madeja algodon 0941,madeja algodon 0941.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-0941.jpg,#649FA2,"(100, 159, 162)"
2,madeja algodon 0970,madeja algodon 0970.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-0970.jpg,#17171D,"(23, 23, 29)"
3,madeja algodon 131,madeja algodon 131.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-131.jpg,#D5AC9E,"(213, 172, 158)"
4,madeja algodon 133,madeja algodon 133.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-133.jpg,#E7BDC6,"(231, 189, 198)"
5,madeja algodon 134,madeja algodon 134.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-134.jpg,#CD92AA,"(205, 146, 170)"
6,madeja algodon 136,madeja algodon 136.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-136.jpg,#C95479,"(201, 84, 121)"
7,madeja algodon 168,madeja algodon 168.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-168.jpg,#BB688C,"(187, 104, 140)"
8,madeja algodon 171,madeja algodon 171.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-171.jpg,#BA325C,"(186, 50, 92)"
9,madeja algodon 183,madeja algodon 183.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-183.jpg,#B8528F,"(184, 82, 143)"
10,madeja algodon 184,madeja algodon 184.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-184.jpg,#B83076,"(184, 48, 118)"
11,madeja algodon 199,madeja algodon 199.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-199.jpg,#BD3F49,"(189, 63, 73)"
12,madeja algodon 200,madeja algodon 200.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-200.jpg,#A11A1D,"(161, 26, 29)"
13,madeja algodon 202,madeja algodon 202.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-202.jpg,#A41C2A,"(164, 28, 42)"
14,madeja algodon 206,madeja algodon 206.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-206.jpg,#8F162C,"(143, 22, 44)"
15,madeja algodon 208,madeja algodon 208.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-208.jpg,#882231,"(136, 34, 49)"
16,madeja algodon 209,madeja algodon 209.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-209.jpg,#2D0F17,"(45, 15, 23)"
17,madeja algodon 210,madeja algodon 210.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-210.jpg,#44172B,"(68, 23, 43)"
18,madeja algodon 241,madeja algodon 241.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-241.jpg,#8B245E,"(139, 36, 94)"
